"district","school","id","year","grads","college","mncollege","remedial"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2012,34,23,19,"fewer than 10"
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2006,134,97,74,22
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2007,187,140,114,41
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2008,184,137,112,38
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2009,223,163,132,43
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2010,181,134,105,32
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2011,196,150,127,36
"Big Lake Public School District","BIG LAKE SENIOR HIGH","0727-01-020",2012,210,141,105,19
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2006,79,67,54,18
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2007,62,55,42,12
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2008,88,73,59,17
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2009,75,60,36,"fewer than 10"
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2010,67,54,43,18
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2011,63,57,47,16
"Bird Island-Olivia-Lake Lillian Public School District","BOLD SENIOR HIGH","2534-01-020",2012,59,46,24,"fewer than 10"
"Blackduck Public School District","BLACKDUCK SECONDARY","0032-01-020",2006,51,41,36,13
"Blackduck Public School District","BLACKDUCK SECONDARY","0032-01-020",2007,58,45,40,17
"Blackduck Public School District","BLACKDUCK SECONDARY","0032-01-020",2008,52,41,35,14
